phase,episode_index,seed,frame_index,time_s,x_m,y_m,z_m,quat_w,quat_x,quat_y,quat_z
validation-source,0,2005200,42,4.1999999999997595,0.8427680008710697,-0.4836895129514466,1.1996481253384412,0.9998776955040011,-0.015501627016921024,0.0020714073371231557,-5.3526440353917774e-05
validation-source,0,2005200,43,4.2999999999997485,0.9066468160426238,-0.4399555334745341,1.1994514484277428,0.9999553675288602,-0.00943196440945696,-0.0005478555107593996,-2.918799185488677e-05
validation-source,0,2005200,44,4.3999999999997375,0.9704137796680155,-0.3943412069746371,1.199282665106994,0.9999825604357989,-0.0048720202973391745,-0.0033379378829624983,-2.0326676396185225e-05
validation-source,0,2005200,45,4.499999999999726,1.0335415654264064,-0.3477434230962317,1.1991746628384317,0.9999840927664562,-0.0019767644891298584,-0.005282637058078844,-1.9024060786000216e-05
validation-source,0,2005200,46,4.599999999999715,1.0956548632481844,-0.30073700775615114,1.1991259494550954,0.9999825323616256,-0.00030726539805607013,-0.005902561149854163,-1.8206503264944273e-05
validation-source,0,2005200,47,4.699999999999704,1.1565981351554238,-0.2536365053610307,1.1991302525208665,0.9999766398698327,-0.00042334995171273775,-0.0068220519824659,-9.808435415911793e-06
validation-source,0,2005200,48,4.799999999999693,1.2162040779944707,-0.20644262913334402,1.1991784550844904,0.9999691887142076,-0.0013004918713375325,-0.007741468506161554,2.9171790884496595e-06
validation-source,0,2005200,49,4.899999999999682,1.274270069218482,-0.15899321781853853,1.1992646009357744,0.9999527682829603,-0.002169713963713552,-0.009473816216538741,1.8731081807602383e-05
validation-source,0,2005200,50,4.999999999999671,1.3304893128442892,-0.11112895471780614,1.1993762990840529,0.9999396058054474,-0.002478552974334024,-0.010707041022199172,2.8095371814517852e-05
validation-source,0,2005200,51,5.09999999999966,1.3846395582163105,-0.0627835906234211,1.1994861045815823,0.9999457012547727,-0.002410668122559853,-0.01013816968518372,2.714289586698872e-05
validation-source,1,2005201,0,0.0,-1.6,-0.0027436663461145594,1.2,1.0,0.0,0.0,0.0
validation-source,1,2005201,1,0.10000000000000007,-1.599620632585063,-0.0030218412431026564,1.2000783043492782,0.9997561878639414,0.013052176854993264,0.017787179228356376,0.0009065110058733413
validation-source,1,2005201,2,0.20000000000000015,-1.5956807373072133,-0.0058743675902087995,1.2006746576970122,0.9987776154648574,0.028238363561199364,0.04051197184867634,0.0021563410332867314
validation-source,1,2005201,3,0.3000000000000002,-1.5838787039539426,-0.01414109459339902,1.2017147023542796,0.997929594366438,0.034783498231655746,0.05402854619337241,0.0027475688592820176
validation-source,1,2005201,4,0.4000000000000003,-1.5615550837792205,-0.029154649659261206,1.2026560394082089,0.9976510925583547,0.0357353293089209,0.058377452390427916,0.0027123437665819345
validation-source,1,2005201,5,0.5000000000000003,-1.5278749543596635,-0.05112874364625468,1.203061701817729,0.9978887628724619,0.03455736525765248,0.054939998015528554,0.0023242326409858858
validation-source,1,2005201,6,0.6000000000000004,-1.4835004157033433,-0.079830064870085,1.202747438217239,0.9984207755805807,0.032057133204442256,0.04609894894469336,0.0017838178098900175
validation-source,1,2005201,7,0.7000000000000005,-1.4301200525307043,-0.11477276874814374,1.2018262962684512,0.9989897954498053,0.02821536673118783,0.034953415781337586,0.0012411255367559154
validation-source,1,2005201,8,0.8000000000000006,-1.3698817089091324,-0.1552276078106413,1.200563797908907,0.999443397374943,0.02356095707675063,0.023604324020639236,0.0007827086231081316
validation-source,1,2005201,9,0.9000000000000007,-1.3049791215968762,-0.20029488422981734,1.199236033120342,0.9997384795354644,0.018324962037162495,0.013673472752042453,0.00045215633825472176
validation-source,1,2005201,10,1.0000000000000007,-1.2373379953986363,-0.24894408072310248,1.1980435532995346,0.9999053523378867,0.012127960532582617,0.006491192801272321,0.00025170495357228575
validation-source,1,2005201,11,1.1000000000000008,-1.1683854515917234,-0.29998560409271,1.1971028447261571,0.9999797200732016,0.006192364510127372,0.0014810709732794225,0.00014315330728055913
validation-source,1,2005201,12,1.2000000000000008,-1.0991142581156654,-0.3522725338050464,1.1964637097326312,0.9999966129634408,0.001774951028104479,-0.001901512278293507,8.866538128002653e-05
validation-source,1,2005201,13,1.300000000000001,-1.0301993147653756,-0.40493916350832615,1.1961180908905955,0.9999911292887116,-0.0008601306628739908,-0.004122831656346145,6.146758874079587e-05
validation-source,1,2005201,14,1.400000000000001,-0.9621118034959656,-0.457452362404405,1.196030488082044,0.9999732196474901,-0.0024390224815978457,-0.0068998701651711925,5.430351202436399e-05
validation-source,1,2005201,15,1.500000000000001,-0.8953850832499537,-0.5094829383546073,1.1961595156833194,0.9999427449848394,-0.00400997731215245,-0.009920809241754817,6.616743676122344e-05
validation-source,1,2005201,16,1.6000000000000012,-0.8305702394148246,-0.5606638113996747,1.1964570240050274,0.999904149831869,-0.00845201710541509,-0.010965621600424984,9.848235039632228e-05
validation-source,1,2005201,17,1.7000000000000013,-0.7678765835877194,-0.6101897750738805,1.1968711021943592,0.9998656163851032,-0.013018538161578162,-0.009962519852411133,0.00012260980495262976
validation-source,1,2005201,18,1.8000000000000014,-0.7070667994799333,-0.6571978789441275,1.197323461190012,0.9998682676206528,-0.015342627915538018,-0.005295864272234932,7.067905908925595e-05
validation-source,1,2005201,19,1.9000000000000015,-0.6472591805413719,-0.7011772169576391,1.1977972625651536,0.9998370511512148,-0.01797508275738858,0.0016624550668631521,-6.154882600895428e-05
validation-source,1,2005201,20,2.0000000000000013,-0.5871477544860612,-0.7415539246235401,1.1983663864454772,0.9996846736100053,-0.023974209106637993,0.007465460920999418,-0.0002398753976630174
validation-source,1,2005201,21,2.0999999999999903,-0.5256133990836687,-0.7772603482128344,1.1989997296358725,0.9995416193826835,-0.02834268035126355,0.010635457048252677,-0.00036144947392211766
validation-source,1,2005201,22,2.1999999999999793,-0.4620408429818095,-0.8074695985667196,1.1995486570676686,0.999527836666758,-0.028739126228231614,0.010864366248540367,-0.0003631775387730498
validation-source,1,2005201,23,2.2999999999999683,-0.3963591340486001,-0.8320981292783378,1.1999145931284374,0.9996189671880586,-0.02590779370792216,0.009519398870750496,-0.0002961557138883067
validation-source,1,2005201,24,2.3999999999999573,-0.3288276268981294,-0.8516880570813659,1.2000722822320569,0.9997579899835022,-0.02077994834975307,0.007218929528437426,-0.00020558986932015842
validation-source,1,2005201,25,2.4999999999999463,-0.25986607560003466,-0.8671989553669608,1.2000839644931844,0.9998620716534241,-0.0156825059641769,0.0054661869323409116,-0.00013219693098182628
validation-source,1,2005201,26,2.5999999999999353,-0.189799374076165,-0.8795632373183035,1.2000598716653714,0.9998863736150875,-0.014063517683884022,0.005426490750386299,-0.0001026029348295189
validation-source,1,2005201,27,2.6999999999999242,-0.11865806968044951,-0.8891979522149306,1.2000199101247995,0.9999139347888064,-0.011635246262505896,0.006061098202313019,-8.454678290828279e-05
validation-source,1,2005201,28,2.7999999999999132,-0.046359219403426404,-0.8964967092020667,1.199971978974453,0.999923833932035,-0.011218230399797415,0.005145338814263674,-5.594499274871646e-05
validation-source,1,2005201,29,2.899999999999902,0.026893758912833306,-0.9015083395417457,1.1999638889078392,0.9998809298433055,-0.015378680106422637,0.0012734640343451268,2.4964460249398506e-05
validation-source,1,2005201,30,2.999999999999891,0.10042356863960704,-0.9035126391576551,1.200009554444201,0.999811498292748,-0.019343234841200818,-0.0016734101832751513,8.273963226810695e-05
validation-source,1,2005201,31,3.09999999999988,0.1736433734892969,-0.9019235742407867,1.1999629092712503,0.9999057318752066,-0.013337787790315492,-0.003259768168071706,6.849422621400301e-05
validation-source,1,2005201,32,3.199999999999869,0.24622433288085935,-0.8978351399171969,1.1997855719889237,0.9999889489499156,-0.0002043743615215896,-0.004696827462133279,-4.577557297363212e-06
validation-source,1,2005201,33,3.299999999999858,0.31782215368919664,-0.8935098382265673,1.199642547683052,0.9999527455981523,0.003803626479059894,-0.008946382962534518,-3.50458696295079e-05
validation-source,1,2005201,34,3.399999999999847,0.3876812285179722,-0.8897971174694069,1.1995634724091306,0.9999184587785749,-0.0007359249513159876,-0.012748871898635272,2.1763699559639483e-05
validation-source,1,2005201,35,3.499999999999836,0.4551179982474579,-0.8858931673878843,1.1995233609148321,0.9998932476946468,-0.00802158589329029,-0.012212332368384014,7.945145652168934e-05
validation-source,1,2005201,36,3.599999999999825,0.5202356876962481,-0.8803687297230256,1.1995333478876382,0.9998225265728591,-0.01740113503986541,-0.007219086059045046,2.5558977486512564e-05
validation-source,1,2005201,37,3.699999999999814,0.5839332453632612,-0.8714462911708118,1.199650287143341,0.9996678751309491,-0.025704701910243283,-0.001844425282169271,-7.63299320019882e-05
validation-source,1,2005201,38,3.799999999999803,0.6472407046061192,-0.8575422673908624,1.1998420837346955,0.999549601014864,-0.029950834370994182,0.0018762789482332496,-0.00014902623107829622
validation-source,1,2005201,39,3.899999999999792,0.7108654608805386,-0.8377807752047858,1.2000459308373408,0.9994842453434327,-0.03199089278085475,0.0027938145785420996,-0.00014383828973124667
validation-source,1,2005201,40,3.999999999999781,0.7750209031773163,-0.8118005980547331,1.2001735646007323,0.9995248692205635,-0.03073358083240451,0.002339157912973775,-0.0001056366033767037
validation-source,1,2005201,41,4.0999999999997705,0.8396292702052377,-0.7798846458166758,1.2001054021875475,0.9996990700202683,-0.02448309404109573,0.0015306620568757204,-6.76790571050536e-05
validation-source,1,2005201,42,4.1999999999997595,0.90449884023391,-0.7431711212773968,1.1998851688649765,0.9998471911951528,-0.017443220803079106,-0.0011522835497716974,-2.3447786216106583e-05
validation-source,1,2005201,43,4.2999999999997485,0.9691434971217171,-0.7030429979296342,1.1996172097864612,0.9999382550350044,-0.01034536326232411,-0.004057028855821354,-9.663608731948534e-06
validation-source,1,2005201,44,4.3999999999997375,1.033016757520298,-0.6608641713713267,1.1993706169684593,0.9999756152039774,-0.004236963359475093,-0.005551286585405819,-1.88723658734491e-05
validation-source,1,2005201,45,4.499999999999726,1.095818759761688,-0.617793343941801,1.1991922088352311,0.9999818318655999,-0.0013577676683854782,-0.0058729784933617595,-2.300640132556908e-05
validation-source,1,2005201,46,4.599999999999715,1.1574753149703578,-0.5743989261433031,1.1990872392990966,0.99998243129971,-0.0017561696542049189,-0.0056615155879651356,-1.4188484029885148e-05
validation-source,1,2005201,47,4.699999999999704,1.2180594597371726,-0.5306431001807788,1.199039403807495,0.9999882221167565,-0.0033150968774480665,-0.0035448060094226026,-1.0526986160562032e-05
